"","Released","Age","Gender","Employed","Records","Priority"
"3","Yes",24,"M","Yes",3,"Common"
"4","No",46,"M","Yes",1,"Common"
"9","Yes",23,"M","Yes",4,"Common"
"10","Yes",30,"M","Yes",3,"Common"
"12","Yes",18,"M","Yes",3,"Common"
"13","Yes",17,"M","Yes",1,"Common"
"16","Yes",25,"M","No",3,"Common"
"17","No",45,"M","No",4,"Common"
"19","Yes",32,"F","No",3,"Common"
"22","Yes",15,"M","No",2,"High Attendition"
"23","Yes",16,"M","Yes",0,"Common"
"24","No",27,"F","No",3,"Common"
"25","Yes",49,"M","Yes",0,"Common"
"26","Yes",21,"M","No",3,"Considerable Attention"
"27","Yes",29,"M","Yes",3,"Common"
"28","Yes",28,"M","Yes",0,"Common"
"29","Yes",19,"M","No",0,"Common"
"31","Yes",19,"F","Yes",0,"Common"
"32","Yes",30,"M","Yes",3,"Common"
"33","No",15,"M","No",2,"High Attendition"
"36","Yes",22,"M","Yes",0,"Common"
"38","Yes",24,"M","Yes",1,"Common"
"39","No",21,"M","No",4,"Considerable Attention"
"41","Yes",27,"M","No",2,"Common"
"42","Yes",18,"M","Yes",1,"Common"
"44","Yes",17,"M","Yes",0,"Common"
"45","Yes",22,"M","Yes",0,"Common"
"47","Yes",20,"M","Yes",0,"Common"
"50","No",26,"M","Yes",4,"Common"
"51","Yes",20,"M","Yes",3,"Considerable Attention"
"52","Yes",21,"M","Yes",3,"Considerable Attention"
"54","Yes",17,"F","Yes",0,"Common"
"55","Yes",19,"M","Yes",3,"Considerable Attention"
"56","Yes",18,"M","Yes",0,"Common"
"57","Yes",42,"M","Yes",3,"Common"
"58","Yes",19,"M","No",3,"Considerable Attention"
"60","Yes",17,"M","Yes",1,"Common"
"63","Yes",19,"M","Yes",4,"Considerable Attention"
"65","Yes",30,"M","No",3,"Common"
"69","No",19,"M","Yes",4,"Considerable Attention"
"72","Yes",16,"F","Yes",1,"Common"
"73","Yes",17,"M","Yes",1,"Common"
"75","No",18,"M","No",3,"Common"
"76","Yes",16,"F","Yes",0,"Common"
"77","No",22,"M","No",5,"Common"
"85","Yes",29,"M","No",2,"Common"
"87","Yes",22,"M","Yes",3,"Common"
"88","Yes",33,"M","Yes",2,"Common"
"89","Yes",22,"M","Yes",0,"Common"
"90","Yes",22,"M","Yes",4,"Common"
"91","Yes",44,"M","Yes",2,"Common"
"94","Yes",15,"M","Yes",0,"Common"
"97","Yes",48,"M","Yes",3,"Common"
"98","Yes",15,"M","Yes",0,"Common"
"99","No",20,"M","Yes",0,"Common"
"103","No",25,"M","Yes",2,"Common"
"104","Yes",21,"M","Yes",0,"Common"
"105","Yes",22,"M","Yes",0,"Common"
"106","Yes",27,"M","Yes",0,"Common"
"108","Yes",17,"M","Yes",2,"High Attendition"
"109","Yes",18,"M","Yes",3,"Common"
"111","No",20,"M","No",4,"Considerable Attention"
"114","Yes",30,"M","Yes",1,"Common"
"115","Yes",36,"F","No",3,"Common"
"118","Yes",19,"M","Yes",0,"Common"
"119","Yes",40,"M","Yes",3,"Common"
"120","Yes",23,"M","Yes",0,"Common"
"121","Yes",19,"M","Yes",3,"Considerable Attention"
"124","Yes",25,"M","Yes",0,"Common"
"126","Yes",17,"F","Yes",0,"Common"
"130","Yes",20,"M","Yes",1,"Common"
"132","No",22,"M","Yes",3,"Common"
"133","Yes",38,"F","No",3,"Common"
"135","Yes",18,"F","Yes",0,"Common"
"137","No",21,"M","Yes",4,"Considerable Attention"
"139","Yes",20,"M","Yes",1,"Common"
"142","Yes",18,"M","Yes",2,"Common"
"143","Yes",35,"M","Yes",2,"Common"
"145","Yes",20,"M","Yes",1,"Common"
"147","Yes",24,"F","Yes",0,"Common"
"150","No",19,"M","Yes",3,"Considerable Attention"
"151","Yes",15,"M","Yes",2,"High Attendition"
"152","Yes",26,"M","Yes",0,"Common"
"159","Yes",18,"M","Yes",0,"Common"
"162","Yes",18,"F","Yes",0,"Common"
"165","Yes",19,"M","Yes",2,"Common"
"170","Yes",31,"M","Yes",3,"Common"
"173","No",37,"M","Yes",0,"Common"
"175","Yes",34,"M","Yes",2,"Common"
"180","Yes",22,"M","Yes",1,"Common"
"182","Yes",17,"M","Yes",5,"High Attendition"
"185","Yes",31,"M","Yes",0,"Common"
"187","Yes",16,"M","Yes",0,"Common"
"188","Yes",21,"M","Yes",1,"Common"
"189","Yes",22,"M","Yes",1,"Common"
"194","No",15,"M","Yes",5,"High Attendition"
"195","Yes",20,"M","No",3,"Considerable Attention"
"196","Yes",16,"M","Yes",0,"Common"
"200","Yes",17,"M","Yes",1,"Common"
"202","Yes",22,"M","Yes",3,"Common"
"204","Yes",21,"M","Yes",0,"Common"
"208","Yes",19,"M","Yes",0,"Common"
"209","Yes",17,"M","No",1,"Common"
"210","Yes",18,"M","Yes",0,"Common"
"218","Yes",24,"M","Yes",0,"Common"
"219","Yes",35,"M","Yes",3,"Common"
"220","Yes",24,"F","Yes",2,"Common"
"222","Yes",25,"M","Yes",0,"Common"
"224","Yes",19,"M","No",5,"Considerable Attention"
"225","Yes",21,"M","No",1,"Common"
"228","Yes",15,"M","Yes",0,"Common"
"232","Yes",19,"M","Yes",2,"Common"
"234","Yes",17,"M","Yes",0,"Common"
"235","Yes",27,"M","Yes",3,"Common"
"239","Yes",22,"M","No",2,"Common"
"241","Yes",36,"M","Yes",1,"Common"
"243","Yes",18,"M","Yes",2,"Common"
"245","Yes",16,"F","Yes",0,"Common"
"246","Yes",26,"M","Yes",1,"Common"
"247","No",17,"M","No",4,"High Attendition"
"249","Yes",17,"M","Yes",3,"High Attendition"
"250","Yes",37,"M","Yes",0,"Common"
"252","No",42,"M","Yes",3,"Common"
"253","Yes",18,"M","Yes",2,"Common"
"254","Yes",15,"F","Yes",0,"Common"
"257","Yes",19,"M","Yes",3,"Considerable Attention"
"258","Yes",23,"M","Yes",0,"Common"
"259","Yes",20,"M","Yes",2,"Common"
"260","Yes",16,"M","Yes",0,"Common"
"261","Yes",38,"M","Yes",2,"Common"
"262","Yes",44,"M","Yes",3,"Common"
"265","Yes",15,"M","Yes",0,"Common"
"267","Yes",19,"M","Yes",1,"Common"
"268","Yes",28,"M","Yes",3,"Common"
"269","Yes",22,"M","Yes",1,"Common"
"274","Yes",22,"M","Yes",0,"Common"
"277","No",23,"M","Yes",0,"Common"
"278","Yes",31,"F","Yes",0,"Common"
"286","Yes",29,"M","Yes",2,"Common"
"287","Yes",17,"M","Yes",1,"Common"
"288","Yes",19,"M","Yes",0,"Common"
"289","Yes",19,"M","Yes",3,"Considerable Attention"
"290","Yes",18,"M","No",3,"Common"
"292","No",19,"M","Yes",4,"Considerable Attention"
"293","Yes",17,"F","Yes",2,"High Attendition"
"294","Yes",34,"M","Yes",0,"Common"
"295","Yes",19,"M","Yes",0,"Common"
"297","Yes",26,"M","Yes",0,"Common"
"299","Yes",24,"M","Yes",3,"Common"
"300","Yes",25,"M","Yes",0,"Common"
"301","Yes",21,"M","Yes",2,"Common"
"303","Yes",19,"M","Yes",0,"Common"
"305","Yes",18,"M","Yes",4,"Common"
"307","Yes",19,"M","Yes",0,"Common"
"308","Yes",19,"M","Yes",3,"Considerable Attention"
"314","Yes",18,"M","Yes",2,"Common"
"315","Yes",20,"M","Yes",2,"Common"
"317","Yes",20,"M","Yes",0,"Common"
"318","No",45,"M","Yes",4,"Common"
"320","Yes",21,"M","Yes",0,"Common"
"323","Yes",16,"M","Yes",0,"Common"
"327","Yes",20,"M","Yes",1,"Common"
"328","Yes",19,"M","Yes",4,"Considerable Attention"
"331","No",40,"M","No",3,"Common"
"333","Yes",16,"M","Yes",1,"Common"
"334","Yes",30,"M","Yes",2,"Common"
"335","Yes",41,"F","No",2,"Common"
"339","No",24,"M","Yes",1,"Common"
"342","No",23,"M","No",2,"Common"
"344","Yes",35,"M","Yes",2,"Common"
"348","Yes",19,"F","No",1,"Common"
"349","Yes",19,"M","Yes",1,"Common"
"351","Yes",21,"M","Yes",0,"Common"
"354","Yes",22,"M","No",0,"Common"
"356","Yes",18,"M","Yes",0,"Common"
"357","Yes",33,"M","Yes",1,"Common"
"358","Yes",22,"M","Yes",0,"Common"
"359","Yes",19,"M","Yes",4,"Considerable Attention"
"361","Yes",19,"M","Yes",1,"Common"
"364","Yes",21,"M","No",1,"Common"
"365","Yes",19,"M","Yes",0,"Common"
"366","Yes",34,"M","Yes",1,"Common"
"369","Yes",49,"M","Yes",3,"Common"
"370","Yes",26,"M","No",3,"Common"
"371","Yes",43,"M","Yes",0,"Common"
"374","Yes",18,"M","Yes",0,"Common"
"377","Yes",16,"M","Yes",1,"Common"
"378","Yes",31,"M","No",3,"Common"
"379","Yes",25,"M","Yes",1,"Common"
"380","No",20,"M","Yes",3,"Considerable Attention"
"381","No",41,"M","No",3,"Common"
"382","Yes",15,"M","Yes",0,"Common"
"383","Yes",22,"M","Yes",0,"Common"
"384","Yes",16,"M","Yes",1,"Common"
"385","Yes",25,"M","Yes",0,"Common"
"386","Yes",33,"M","No",5,"Common"
"387","No",27,"M","No",4,"Common"
"389","No",21,"M","No",4,"Considerable Attention"
"391","No",30,"M","No",1,"Common"
"393","No",53,"M","Yes",4,"Common"
"396","Yes",22,"M","Yes",2,"Common"
"397","Yes",17,"F","Yes",1,"Common"
"401","Yes",20,"M","Yes",0,"Common"
"405","Yes",20,"M","Yes",2,"Common"
"406","Yes",15,"M","Yes",1,"Common"
"407","Yes",15,"M","Yes",0,"Common"
"410","Yes",41,"M","Yes",2,"Common"
"415","No",38,"M","Yes",4,"Common"
"418","Yes",19,"M","Yes",2,"Common"
"421","Yes",20,"F","Yes",0,"Common"
"423","Yes",34,"M","Yes",1,"Common"
"424","Yes",15,"M","Yes",0,"Common"
"426","Yes",37,"M","Yes",0,"Common"
"428","Yes",31,"M","Yes",0,"Common"
"430","Yes",53,"M","Yes",1,"Common"
"435","Yes",19,"F","Yes",0,"Common"
"437","Yes",20,"M","Yes",0,"Common"
